,name,url,price
0,Atalho Real,https://www.zomato.com/grande-lisboa/atalho-real-príncipe-real-lisboa/info,45
1,Boa-Bao,https://www.zomato.com/boabao/info,48
2,Nicolau Lisboa,https://www.zomato.com/grande-lisboa/nicolau-lisboa-baixa-lisboa/info,20
3,Forno d'Oro,https://www.zomato.com/grande-lisboa/forno-doro-rato-lisboa/info,55
4,Heim Cafe,https://www.zomato.com/grande-lisboa/heim-cafe-santos-lisboa/info,20
5,Fauna & Flora,https://www.zomato.com/grande-lisboa/fauna-flora-madragoa-lisboa/info,25
6,Amélia Lisboa,https://www.zomato.com/grande-lisboa/amélia-lisboa-campo-de-ourique-lisboa/info,20
7,Butchers,https://www.zomato.com/grande-lisboa/butchers-parque-das-nações-lisboa/info,40
8,Contrabando,https://www.zomato.com/grande-lisboa/contrabando-santos-lisboa/info,30
9,Volver de Carne Y Alma,https://www.zomato.com/volver-de-carne-y-alma/info,100
10,Zero Zero - Príncipe Real,https://www.zomato.com/grande-lisboa/zero-zero-príncipe-real-príncipe-real-lisboa/info,50
11,Choupana Caffé,https://www.zomato.com/grande-lisboa/choupana-caffé-saldanha-lisboa/info,10
12,Ground Burger,https://www.zomato.com/grande-lisboa/ground-burger-praça-de-espanha-lisboa/info,40
13,Soão - Taberna Asiática,https://www.zomato.com/grande-lisboa/soão-taberna-asiática-alvalade-lisboa/info,60
14,Páteo - Bairro do Avillez,https://www.zomato.com/grande-lisboa/páteo-bairro-do-avillez-chiado-lisboa/info,50
15,Polpetta - Almondegaria Artesanal,https://www.zomato.com/grande-lisboa/polpetta-almondegaria-artesanal-arroios-lisboa/info,25
16,Casanova,https://www.zomato.com/grande-lisboa/casanova-santa-apolónia-lisboa/info,30
17,Frankie Hot Dogs,https://www.zomato.com/grande-lisboa/frankie-hot-dogs-campo-grande-lisboa/info,14
18,Sala de Corte,https://www.zomato.com/SalaDeCorte/info,60
19,O Talho,https://www.zomato.com/otalho/info,60
20,"Madame Petisca Restaurante, Bar e Terraço",https://www.zomato.com/grande-lisboa/madame-petisca-restaurante-bar-e-terraço-bica-lisboa/info,35
21,Lost In,https://www.zomato.com/grande-lisboa/lost-in-príncipe-real-lisboa/info,50
22,Psi,https://www.zomato.com/grande-lisboa/psi-pena-lisboa/info,30
23,Ao 26 Vegan Food Project,https://www.zomato.com/grande-lisboa/ao-26-vegan-food-project-chiado-lisboa/info,40
24,Come Prima,https://www.zomato.com/grande-lisboa/come-prima-lapa-estrela-lisboa/info,60
25,TOPO,https://www.zomato.com/grande-lisboa/topo-mouraria-lisboa/info,45
26,Nómada Avenidas,https://www.zomato.com/grande-lisboa/nómada-avenidas-campo-pequeno-lisboa/info,70
27,Las Ficheras,https://www.zomato.com/grande-lisboa/las-ficheras-cais-do-sodré-lisboa/info,40
28,SOI,https://www.zomato.com/grande-lisboa/soi-cais-do-sodré-lisboa/info,45
29,Adega das Gravatas,https://www.zomato.com/grande-lisboa/adega-das-gravatas-carnide/info,40
30,JNcQUOI Avenida,https://www.zomato.com/grande-lisboa/jncquoi-avenida-avenida-da-liberdade-lisboa/info,85
31,The Old House,https://www.zomato.com/grande-lisboa/the-old-house-parque-das-nações-lisboa/info,60
32,Empanaderia El Pibe,https://www.zomato.com/grande-lisboa/empanaderia-el-pibe-pena-lisboa/info,20
33,Darwin's,https://www.zomato.com/grande-lisboa/darwins-belém-lisboa/info,50
34,Ramiro,https://www.zomato.com/grande-lisboa/ramiro-mouraria-lisboa/info,60
35,Zenith Brunch & Cocktails,https://www.zomato.com/grande-lisboa/zenith-brunch-cocktails-pena-lisboa/info,25
36,Casa Nepalesa,https://www.zomato.com/grande-lisboa/casa-nepalesa-praça-de-espanha-lisboa/info,50
37,Carvoaria Jacto,https://www.zomato.com/grande-lisboa/carvoaria-jacto-anjos-lisboa/info,30
38,Ajitama Ramen Bistro,https://www.zomato.com/grande-lisboa/ajitama-ramen-bistro-1-marquês-de-pombal-lisboa/info,40
39,Hygge Kaffe,https://www.zomato.com/grande-lisboa/hygge-kaffe-saldanha-lisboa/info,20
40,Italy - Lisbona Caffé,https://www.zomato.com/grande-lisboa/italy-lisbona-caffé-saldanha-lisboa/info,35
41,Chutnify - Príncipe Real,https://www.zomato.com/grande-lisboa/chutnify-príncipe-real-príncipe-real-lisboa/info,45
42,Guilty by Olivier,https://www.zomato.com/guiltybyolivier/info,60
43,Segundo Muelle,https://www.zomato.com/grande-lisboa/segundo-muelle-cais-do-sodré-lisboa/info,50
44,Popolo - Pizza & Burger,https://www.zomato.com/grande-lisboa/popolo-pizza-burger-santos-lisboa/info,25
45,Jamie's Italian,https://www.zomato.com/grande-lisboa/jamies-italian-príncipe-real-lisboa/info,40
46,Go Juu,https://www.zomato.com/grande-lisboa/go-juu-praça-de-espanha-lisboa/info,50
47,K.O.B by Olivier,https://www.zomato.com/grande-lisboa/k-o-b-by-olivier-avenida-da-liberdade-lisboa/info,80
