,Name,Ratings,No. of reviews,Categories,Location,Address
0,Carvoeiro de Palma,4.2,867,Portuguesa,"São Domingos de Benfica, Lisboa","Rua Antonino e Sá, 9, São Domingos de Benfica, Lisboa"
1,A Padaria Portuguesa - Camões,3.3,289,"Pastelaria, Padaria, Snacks","Chiado, Lisboa","Praça Luís de Camões, 44, Chiado, Lisboa"
2,Eva Bar & Restaurante,3.8,45,"Contemporânea, Internacional, Bebidas","Chiado, Lisboa","Rua Garrett, 47, Chiado, Lisboa 1200-203"
3,Portugália Balcão Chiado,3.7,81,Portuguesa,"Armazéns do Chiado, Chiado, Lisboa","Armazéns do Chiado, Rua do Carmo, 2, Piso 6, Chiado, Lisboa"
4,Escondidinho da Curva,3.2,66,Portuguesa,"Chiado, Lisboa","Rua do Ferragial, 22/22A, Chiado, Lisboa"
5,Tapas n' Friends - Trindade,3.1,40,Tapas,"Chiado, Lisboa","Rua da Trindade, 34, Chiado, Lisboa 1200-468"
6,Grau Douro,3.9,35,"Bebidas, Tapas, Snacks","Chiado, Lisboa","Rua Duques de Bragança, 5M, Chiado, Lisboa 1200"
7,Casa dos Ovos Moles em Lisboa,3.6,23,"Pastelaria, Sobremesa","Chiado, Lisboa","Calçada do Sacramento, 25, Chiado, Lisboa 1200-393 L"
8,Beer&Wine Up,3.8,23,"Portuguesa, Petiscos, Bebidas","Chiado, Lisboa","Rua do Alecrim, 49, Chiado, Lisboa"
9,Quiosque Lisboa - Praça Luis de Camões,3.5,72,"Bebidas, Snacks, Petiscos","Chiado, Lisboa","Praça Luís de Camões, Chiado, Lisboa 1200-279"
10,That Burrata Place,-,2,"Mediterrânica, Italiana, Autor","Chiado, Lisboa","Praça Luis de Camões, 22 Chiado, Lisboa"
11,Solar do Loreto,2.2,54,Portuguesa,"Chiado, Lisboa","Rua da Horta Seca, 28/30, Chiado, Lisboa"
12,The Spot,3.0,26,"Bebidas, Snacks","Chiado, Lisboa","Rua Nova do Almada, 14, Chiado, Lisboa"
13,Taqueria do Chiado,3.6,8,"Mexicana, Snacks","Chiado, Lisboa","Rua da Trindade, 36C, Chiado, Lisboa"
14,Lisboa 33,3.7,47,Portuguesa,"Chiado, Lisboa","Rua do Duque, 33, Chiado, Lisboa"
15,Mimosa do Camões,3.3,51,"Portuguesa, Petiscos","Chiado, Lisboa","Rua da Horta Seca, 36, Chiado, Lisboa"
16,SO Coffee Roasters,3.7,5,"Café, Pastelaria, Sobremesa, Bebidas","Chiado, Lisboa","Calçada do Sacramento, 26, The Feeting Room, Chiado, Lisboa"
17,Quiosque do Carmo,2.9,46,"Snacks, Bebidas","Chiado, Lisboa","Largo do Carmo, Chiado, Lisboa"
18,Maria do Carmo,3.7,29,Portuguesa,"Chiado, Lisboa","Lisboa Carmo Hotel, Rua da Oliveira do Carmo, 1"
19,Adega de S. Roque,3.4,35,"Portuguesa, Marisqueira","Chiado, Lisboa","Rua da Misericórdia, 120, Chiado, Lisboa 1200-273"
20,Sabor Gaucho,3.0,38,"Grelhados, Bifes","Armazéns do Chiado, Chiado, Lisboa","Armazéns do Chiado, Rua do Carmo, 2, Chiado, Lisboa"
21,Securas,2.9,35,Portuguesa,"Chiado, Lisboa","Calçada do Duque, 27, Chiado, Lisboa"
22,26B Vegan Street Food,-,2,"Vegan, Fast food","Chiado, Lisboa","Rua Vitor Cordon, 26, Chiado, Lisboa"
23,Gelatiamo,3.1,36,"Gelados, Snacks, Crepes","Chiado, Lisboa","Largo Trindade Coelho, 3/4, Chiado, Lisboa"
24,Revolução,3.9,9,"Autor, Portuguesa","Chiado, Lisboa","Rua da Misericórdia, 95, Chiado, Lisboa"
25,O Fernandinho,3.7,28,Portuguesa,"Chiado, Lisboa","Rua do Duque, 15, Chiado, Lisboa"
26,Fado ao Carmo,3.8,15,Portuguesa,"Chiado, Lisboa","Rua da Condessa, 52, Chiado, Lisboa"
27,Popular do Capelo,3.3,19,"Portuguesa, Snacks","Chiado, Lisboa","Rua Capelo, 8-12, Chiado, Lisboa"
28,Café Bertrand,3.4,17,"Pastelaria, Snacks, Petiscos, Comida saudável","Chiado, Lisboa","Rua da Anchieta, 17, Chiado, Lisboa 1200 &ndas"
29,AllChiado,3.0,12,"Portuguesa, Italiana","Chiado, Lisboa","Rua Nova Do Almada, 66, Chiado, Lisboa"
30,Nova - Wine bar,3.7,16,"Bebidas, Petiscos","Chiado, Lisboa","Rua Nova do Almada, 20, Chiado, Lisboa"
31,Oficina Craft Snackery,-,3,"Snacks, Petiscos, Tapas, Bebidas","Chiado, Lisboa","Rua do Duque, 31, Chiado, Lisboa"
32,Leitaria Académica,3.3,22,"Pastelaria, Snacks, Portuguesa","Chiado, Lisboa","Largo do Carmo, 1, Chiado, Lisboa"
33,Godiva,3.4,6,Sobremesa,"Chiado, Lisboa","Largo de São Carlos, 5, Chiado, Lisboa"
